#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-07-10 12:37:47 EDT      (caww01)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		19083	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	09163500	00060	19083	1952	9431
USGS	09163500	00060	19083	1953	5211
USGS	09163500	00060	19083	1954	2881
USGS	09163500	00060	19083	1955	4009
USGS	09163500	00060	19083	1956	4607
USGS	09163500	00060	19083	1957	10390
USGS	09163500	00060	19083	1958	7492
USGS	09163500	00060	19083	1959	4110
USGS	09163500	00060	19083	1960	5164
USGS	09163500	00060	19083	1961	3812
USGS	09163500	00060	19083	1962	8558
USGS	09163500	00060	19083	1963	3571
USGS	09163500	00060	19083	1964	4287
USGS	09163500	00060	19083	1965	7893
USGS	09163500	00060	19083	1966	4087
USGS	09163500	00060	19083	1967	3952
USGS	09163500	00060	19083	1968	5128
USGS	09163500	00060	19083	1969	5978
USGS	09163500	00060	19083	1970	7580
USGS	09163500	00060	19083	1971	7424
USGS	09163500	00060	19083	1972	4760
USGS	09163500	00060	19083	1973	7451
USGS	09163500	00060	19083	1974	6004
USGS	09163500	00060	19083	1975	6551
USGS	09163500	00060	19083	1976	4594
USGS	09163500	00060	19083	1977	2559
USGS	09163500	00060	19083	1978	5338
USGS	09163500	00060	19083	1979	7817
USGS	09163500	00060	19083	1980	7214
USGS	09163500	00060	19083	1981	3723
USGS	09163500	00060	19083	1982	6248
USGS	09163500	00060	19083	1983	11100
USGS	09163500	00060	19083	1984	13470
USGS	09163500	00060	19083	1985	10690
USGS	09163500	00060	19083	1986	10380
USGS	09163500	00060	19083	1987	7190
USGS	09163500	00060	19083	1988	4835
USGS	09163500	00060	19083	1989	3885
USGS	09163500	00060	19083	1990	3096
USGS	09163500	00060	19083	1991	4845
USGS	09163500	00060	19083	1992	4583
USGS	09163500	00060	19083	1993	8491
USGS	09163500	00060	19083	1994	4631
USGS	09163500	00060	19083	1995	9778
USGS	09163500	00060	19083	1996	7658
USGS	09163500	00060	19083	1997	9826
USGS	09163500	00060	19083	1998	7387
USGS	09163500	00060	19083	1999	6018
USGS	09163500	00060	19083	2000	4820
USGS	09163500	00060	19083	2001	3866
USGS	09163500	00060	19083	2002	2417
USGS	09163500	00060	19083	2003	3638
USGS	09163500	00060	19083	2004	3349
USGS	09163500	00060	19083	2005	6214
USGS	09163500	00060	19083	2006	5474
USGS	09163500	00060	19083	2007	5216
USGS	09163500	00060	19083	2008	8425
USGS	09163500	00060	19083	2009	6857
USGS	09163500	00060	19083	2010	5097
USGS	09163500	00060	19083	2011	9510
USGS	09163500	00060	19083	2012	3330
USGS	09163500	00060	19083	2013	3331
USGS	09163500	00060	19083	2014	7024
USGS	09163500	00060	19083	2015	6499
USGS	09163500	00060	19083	2016	6020
USGS	09163500	00060	19083	2017	6154
USGS	09163500	00060	19083	2018	3484

