#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-07-10 12:38:48 EDT      (caww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 09180500 COLORADO RIVER NEAR CISCO, UT
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		142741	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	09180500	00060	142741	1914	11780
USGS	09180500	00060	142741	1915	7388
USGS	09180500	00060	142741	1916	10340
USGS	09180500	00060	142741	1917	12110
USGS	09180500	00060	142741	1923	10050
USGS	09180500	00060	142741	1924	8172
USGS	09180500	00060	142741	1925	6942
USGS	09180500	00060	142741	1926	9119
USGS	09180500	00060	142741	1927	10430
USGS	09180500	00060	142741	1928	10320
USGS	09180500	00060	142741	1929	11760
USGS	09180500	00060	142741	1930	8421
USGS	09180500	00060	142741	1931	3958
USGS	09180500	00060	142741	1932	9211
USGS	09180500	00060	142741	1933	6396
USGS	09180500	00060	142741	1934	3066
USGS	09180500	00060	142741	1935	6466
USGS	09180500	00060	142741	1936	7942
USGS	09180500	00060	142741	1937	6442
USGS	09180500	00060	142741	1938	10250
USGS	09180500	00060	142741	1939	5873
USGS	09180500	00060	142741	1940	4771
USGS	09180500	00060	142741	1941	9085
USGS	09180500	00060	142741	1942	10640
USGS	09180500	00060	142741	1943	7094
USGS	09180500	00060	142741	1944	8132
USGS	09180500	00060	142741	1945	7469
USGS	09180500	00060	142741	1946	5611
USGS	09180500	00060	142741	1947	8358
USGS	09180500	00060	142741	1948	9028
USGS	09180500	00060	142741	1949	8685
USGS	09180500	00060	142741	1950	5850
USGS	09180500	00060	142741	1951	5417
USGS	09180500	00060	142741	1952	10620
USGS	09180500	00060	142741	1953	5576
USGS	09180500	00060	142741	1954	3217
USGS	09180500	00060	142741	1955	4476
USGS	09180500	00060	142741	1956	4965
USGS	09180500	00060	142741	1957	11720
USGS	09180500	00060	142741	1958	8777
USGS	09180500	00060	142741	1959	4296
USGS	09180500	00060	142741	1960	5692
USGS	09180500	00060	142741	1961	4260
USGS	09180500	00060	142741	1962	9249
USGS	09180500	00060	142741	1963	3895
USGS	09180500	00060	142741	1964	4625
USGS	09180500	00060	142741	1965	8845
USGS	09180500	00060	142741	1966	4843
USGS	09180500	00060	142741	1967	4175
USGS	09180500	00060	142741	1968	5638
USGS	09180500	00060	142741	1969	6574
USGS	09180500	00060	142741	1970	8065
USGS	09180500	00060	142741	1971	7780
USGS	09180500	00060	142741	1972	4873
USGS	09180500	00060	142741	1973	8890
USGS	09180500	00060	142741	1974	6235
USGS	09180500	00060	142741	1975	7210
USGS	09180500	00060	142741	1976	4815
USGS	09180500	00060	142741	1977	2631
USGS	09180500	00060	142741	1978	6261
USGS	09180500	00060	142741	1979	9104
USGS	09180500	00060	142741	1980	8567
USGS	09180500	00060	142741	1981	3688
USGS	09180500	00060	142741	1982	6838
USGS	09180500	00060	142741	1983	12700
USGS	09180500	00060	142741	1984	14930
USGS	09180500	00060	142741	1985	12100
USGS	09180500	00060	142741	1986	11130
USGS	09180500	00060	142741	1987	8653
USGS	09180500	00060	142741	1988	5081
USGS	09180500	00060	142741	1989	3935
USGS	09180500	00060	142741	1990	3146
USGS	09180500	00060	142741	1991	4923
USGS	09180500	00060	142741	1992	4885
USGS	09180500	00060	142741	1993	9496
USGS	09180500	00060	142741	1994	4827
USGS	09180500	00060	142741	1995	10490
USGS	09180500	00060	142741	1996	7604
USGS	09180500	00060	142741	1997	10630
USGS	09180500	00060	142741	1998	7971
USGS	09180500	00060	142741	1999	6640
USGS	09180500	00060	142741	2000	5311
USGS	09180500	00060	142741	2001	4147
USGS	09180500	00060	142741	2002	2557
USGS	09180500	00060	142741	2003	3780
USGS	09180500	00060	142741	2004	3523
USGS	09180500	00060	142741	2005	6820
USGS	09180500	00060	142741	2006	5423
USGS	09180500	00060	142741	2007	5439
USGS	09180500	00060	142741	2008	8761
USGS	09180500	00060	142741	2009	7272
USGS	09180500	00060	142741	2010	5547
USGS	09180500	00060	142741	2011	9585
USGS	09180500	00060	142741	2012	3489
USGS	09180500	00060	142741	2013	3412
USGS	09180500	00060	142741	2014	6834
USGS	09180500	00060	142741	2015	6711
USGS	09180500	00060	142741	2016	6251
USGS	09180500	00060	142741	2017	6459
USGS	09180500	00060	142741	2018	3468

